;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,    Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc], [degree],   [pc]
  74, 15:00:0.56,  1:53:31.38, 1295.2,  29.77,   8.26,   5.19,   1.21,   3.20,   1.31,    9.384,    1.525,    4.129,    0.671,    5.3,     0.11,    285.6,    618
  75, 15:00:1.12,  1:53:37.16, 1297.2,   0.00,   0.00,   1.26,   1.58,   1.05,   2.30,    1.603,    2.432,    0.705,    1.070,    3.3,     0.01,     56.5,   2532
  76, 15:00:0.15,  1:53:29.02, 1297.7,   0.00,   0.00,   4.85,   4.07,   2.89,   7.93,    1.438,    0.988,    0.633,    0.435,    3.7,     0.09,     40.3,    700
  77, 15:00:0.52,  1:53:29.69, 1295.2,  66.49,   2.95,   9.59,   0.43,   8.21,   0.55,  112.281,    3.765,   49.404,    1.657,    8.1,     0.17,    209.7,    403
  78, 15:00:0.11,  1:53:29.83, 1299.4,   0.00,   0.00,   3.41,   4.44,   2.59,   7.75,    4.531,    6.765,    1.994,    2.977,    2.6,     0.03,    157.4,    779
  79, 15:00:0.56,  1:53:30.37, 1302.5,  24.35,  11.70,   4.49,   1.46,   2.67,   1.51,    6.157,    1.668,    2.709,    0.734,    4.8,     0.17,    269.6,    543
  80, 15:00:0.22,  1:53:27.73, 1302.7,   0.00,   0.00,   3.11,   1.70,   2.16,   2.08,    1.742,    1.022,    0.766,    0.450,    3.1,     0.06,      7.0,    547
  81, 15:00:0.00,  1:53:29.98, 1307.2,   0.00,   0.00,   1.68,   4.62,   2.89,   5.14,   21.937,   65.530,    9.652,   28.833,    4.0,     0.04,    191.5,   1114
  82, 15:00:0.33,  1:53:30.31, 1304.8,   0.00,   0.00,   5.07,   4.21,   3.70,   4.77,    2.849,    1.415,    1.254,    0.623,    3.5,     0.13,    156.6,    208
  83, 15:00:0.03,  1:53:30.26, 1308.9,  23.24,  16.34,   4.41,   1.75,   2.39,   3.57,    3.306,    1.055,    1.455,    0.464,    3.7,     0.10,     69.1,   1008
  84, 15:00:0.59,  1:53:39.33, 1308.8,  53.97,   8.04,  10.89,   1.89,   8.43,   1.90,   58.989,    8.109,   25.955,    3.568,    3.9,     0.05,    222.0,   1449
  85, 15:00:0.48,  1:53:16.61, 1312.8,   0.00,   0.00,   4.25,   3.22,   2.10,   4.00,    1.982,    1.724,    0.872,    0.759,    3.1,     0.07,    275.6,   1292
  86, 15:00:0.41,  1:53:29.20, 1318.7,  71.49,   2.17,  33.83,   1.07,  23.30,   0.84,  339.719,    4.830,  149.477,    2.125,   10.4,     0.61,    275.4,     85
  87, 15:00:0.56,  1:53:31.72, 1310.1,  18.38,  16.15,   3.56,   1.93,   2.12,   1.98,    5.045,    2.319,    2.220,    1.020,    4.1,     0.04,      8.0,    659
  88, 15:00:0.25,  1:53:27.54, 1318.2,   0.00,   0.00,   3.93,   2.69,   2.65,   1.82,    3.448,    2.025,    1.517,    0.891,    3.2,     0.07,      0.7,    468
  89, 15:00:0.22,  1:53:27.97, 1316.1,   0.00,   0.00,   0.86,   2.06,   -NaN,    NaN,    4.282,    7.188,    1.884,    3.163,    4.2,     0.01,    218.9,    530
  90, 15:00:0.53,  1:53:29.30, 1318.1,  44.17,   6.29,   8.06,   1.43,   6.91,   1.13,   35.099,    3.558,   15.444,    1.565,    6.6,     0.07,    195.1,    402
  91, 15:00:0.20,  1:53:26.24, 1321.9,   0.00,   0.00,   -NaN,   -NaN,   -NaN,    NaN,    1.462,    3.162,    0.643,    1.391,    3.9,     0.01,    310.2,    679
  92, 15:00:0.14,  1:53:28.53, 1328.8,   0.00,   0.00,   4.93,   5.81,   3.10,   9.29,    4.880,    5.461,    2.147,    2.403,    2.8,     0.04,     42.2,    747
  93, 15:00:0.23,  1:53:28.53, 1322.2,  46.96,  15.15,   9.43,   2.40,   6.51,   2.17,   29.817,    7.624,   13.120,    3.355,    6.9,     0.02,     29.7,    467
  94, 15:00:0.55,  1:53:30.19, 1320.3,  17.47,   7.22,   4.05,   1.83,   2.83,   1.77,    4.148,    1.019,    1.825,    0.448,    4.6,     0.04,     42.8,    523
  95, 15:00:0.60,  1:53:37.92, 1327.1,  28.60,   7.77,  11.16,   2.70,   5.81,   2.25,   14.577,    2.047,    6.414,    0.901,    4.5,     0.38,    153.6,   1316
  96, 15:00:0.47,  1:53:28.61, 1327.4,   0.00,   0.00,   2.44,   1.85,   2.03,   2.11,    1.886,    0.932,    0.830,    0.410,    3.6,     0.12,     47.0,    212
