;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,    Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc], [degree],   [pc]
 278, 15:00:0.22,  1:53:26.65, 1417.8,  33.71,   5.63,   7.38,   1.47,   6.41,   1.15,   19.404,    2.398,    8.538,    1.055,    5.0,     0.08,    343.4,    601
 279, 15:00:0.27,  1:53:24.95, 1421.6,  47.99,  17.74,   4.56,   2.66,   3.83,   3.81,   28.713,    9.526,   12.634,    4.192,    6.2,     0.05,    196.8,    636
 280, 15:00:0.47,  1:53:27.21, 1420.6,   0.00,   0.00,   2.71,   2.63,   1.27,   2.22,    3.713,    3.228,    1.634,    1.420,    3.8,     0.03,    315.5,    234
 281, 15:00:0.32,  1:53:27.86, 1421.7,  31.63,  22.51,   3.18,   2.00,   1.10,   2.72,    5.937,    4.243,    2.612,    1.867,    4.1,     0.09,    186.3,    244
 282, 15:00:0.58,  1:53:29.49, 1420.7,   0.00,   0.00,   2.65,   1.14,   2.08,   0.96,    3.626,    0.708,    1.596,    0.312,    5.1,     0.05,     88.1,    556
 283, 15:00:0.61,  1:53:30.03, 1419.3,  22.27,  20.65,   2.85,   1.59,   1.95,   1.64,    3.695,    1.323,    1.626,    0.582,    3.8,     0.04,    152.4,    665
 284, 15:00:0.62,  1:53:30.83, 1420.1,   0.00,   0.00,   3.98,   5.06,   1.97,   5.93,    2.833,    1.939,    1.246,    0.853,    4.1,     0.03,     79.6,    758
 285, 15:00:0.57,  1:53:27.57, 1423.4,  44.48,   3.61,   8.94,   0.77,   7.36,   0.77,   51.687,    2.740,   22.742,    1.206,    9.0,     0.16,    280.2,    492
 286, 15:00:0.89,  1:53:25.39, 1423.0,   0.00,   0.00,   6.18,   7.74,   3.72,   8.54,    3.805,    5.864,    1.674,    2.580,    3.6,     0.03,    141.5,   1356
 287, 15:00:0.53,  1:53:26.85, 1425.5,  38.98,   4.22,   7.97,   0.96,   5.71,   0.62,   26.567,    2.073,   11.689,    0.912,    6.4,     0.06,    333.2,    371
 288, 15:00:0.38,  1:53:19.38, 1423.2,   0.00,   0.00,   4.99,   2.75,   2.12,   1.22,    3.130,    1.471,    1.377,    0.647,    3.4,     0.21,    197.3,   1054
 289, 15:00:0.21,  1:53:25.90, 1422.9,  30.57,   5.49,   7.06,   0.92,   3.80,   1.13,   12.664,    1.967,    5.572,    0.865,    5.6,     0.25,    130.6,    690
 290, 15:00:0.58,  1:53:29.95, 1422.7,  24.41,  22.30,   2.49,   1.64,   2.54,   1.67,    8.377,    3.353,    3.686,    1.475,    4.6,     0.11,    257.5,    600
 291, 15:00:0.31,  1:53:19.93, 1428.7,   0.00,   0.00,   3.64,   4.17,   2.20,   5.93,    1.052,    1.316,    0.463,    0.579,    3.7,     0.04,    337.2,   1083
 292, 15:00:0.57,  1:53:29.42, 1430.3,   0.00,   0.00,   4.32,   2.70,   2.74,   2.92,    1.886,    0.681,    0.830,    0.299,    4.4,     0.08,    222.9,    538
 293, 15:00:0.60,  1:53:30.80, 1428.5,  14.46,  18.95,   5.58,   3.45,   1.41,   1.72,    4.099,    2.802,    1.803,    1.233,    4.4,     0.12,     84.4,    700
 294, 15:00:0.42,  1:53:28.26, 1436.0,  63.65,   2.02,  28.68,   0.73,  24.87,   0.80,  282.330,    5.473,  124.225,    2.408,    7.9,     0.29,    301.0,     75
 295, 15:00:0.28,  1:53:24.51, 1430.9,  26.13,  20.18,   4.08,   2.38,   3.15,   2.65,    6.974,    3.643,    3.069,    1.603,    4.1,     0.06,     22.8,    645
 296, 15:00:0.46,  1:53:27.69, 1430.0,   0.00,   0.00,   1.81,   3.73,   -NaN,   -NaN,    2.494,    5.465,    1.097,    2.405,    3.7,     0.07,    123.2,    196
 297, 15:00:0.31,  1:53:27.99, 1428.2,  37.02,   4.95,   5.62,   0.72,   4.71,   0.79,   18.765,    1.832,    8.256,    0.806,    5.8,     0.07,    222.7,    283
 298, 15:00:0.61,  1:53:28.39, 1429.2,  19.71,  13.20,   3.22,   1.19,   1.78,   1.16,    4.947,    1.236,    2.176,    0.544,    3.9,     0.06,    282.3,    599
 299, 15:00:0.60,  1:53:30.21, 1427.5,   0.00,   0.00,   2.33,   4.28,   1.66,   4.02,    6.702,    8.379,    2.949,    3.687,    4.2,     0.09,    342.9,    664
 300, 15:00:0.23,  1:53:25.58, 1430.3,  30.06,   6.89,   7.76,   0.91,   6.85,   1.25,   21.493,    2.274,    9.457,    1.000,    5.3,     0.07,     74.1,    677
 301, 15:00:0.23,  1:53:25.98, 1438.1,   0.00,   0.00,   3.93,   5.88,   2.05,   2.68,    6.379,    5.232,    2.807,    2.302,    4.3,     0.19,     14.1,    631
 302, 15:00:0.26,  1:53:24.92, 1430.2,  62.45,  13.67,   9.21,   1.93,   4.42,   1.82,   57.700,   11.883,   25.388,    5.229,    6.6,     0.15,    189.3,    660
 303, 15:00:0.24,  1:53:24.94, 1434.0,  19.61,  11.64,   5.63,   1.00,   4.76,   1.15,   13.896,    1.259,    6.114,    0.554,    7.2,     0.03,     74.5,    684
 304, 15:00:0.47,  1:53:26.90, 1436.7,  19.91,  11.79,   3.48,   1.36,   2.26,   1.06,    4.429,    1.181,    1.949,    0.519,    3.9,     0.10,     91.6,    253
 305, 15:00:0.56,  1:53:26.88, 1447.9,  65.90,   2.09,  14.03,   0.49,  13.32,   0.40,  294.086,    4.923,  129.398,    2.166,   12.4,     0.13,    295.7,    441
 306, 15:00:0.19,  1:53:26.94, 1436.1,   0.00,   0.00,   4.84,   2.45,   2.66,   1.34,    4.495,    1.637,    1.978,    0.720,    3.3,     0.05,    339.3,    677
 307, 15:00:0.47,  1:53:27.37, 1438.7,   0.00,   0.00,   1.94,   2.12,   -NaN,   -NaN,    2.326,    4.100,    1.023,    1.804,    3.9,     0.01,     30.0,    229
 308, 15:00:0.57,  1:53:27.75, 1435.8,  39.14,  15.58,   5.35,   1.91,   3.78,   2.01,   28.206,    9.758,   12.411,    4.294,    5.4,     0.07,    256.3,    493
 309, 15:00:0.22,  1:53:25.08, 1441.3,  52.00,   4.03,   9.03,   0.67,   7.52,   0.68,   56.376,    3.021,   24.806,    1.329,    6.9,     0.05,    207.9,    726
 310, 15:00:0.54,  1:53:28.30, 1440.2,  25.67,  11.37,   3.48,   1.42,   2.42,   1.29,    5.630,    1.700,    2.477,    0.748,    3.9,     0.05,     65.5,    395
 311, 15:00:0.45,  1:53:28.56, 1439.2,   0.00,   0.00,   3.21,   1.68,   0.99,   1.49,    3.936,    2.827,    1.732,    1.244,    4.6,     0.13,     76.5,    141
 312, 15:00:0.61,  1:53:29.99, 1438.8,   0.00,   0.00,   2.15,   2.18,   1.69,   3.73,    1.763,    1.643,    0.776,    0.723,    3.4,     0.01,    276.1,    687
 313, 15:00:0.31,  1:53:24.33, 1442.6,   0.00,   0.00,   3.28,   1.63,   1.13,   2.28,    5.005,    2.230,    2.202,    0.981,    5.7,     0.01,    338.0,    614
 314, 15:00:0.57,  1:53:28.15, 1444.6,   0.00,   0.00,   2.04,   1.68,   1.30,   2.71,    3.492,    3.968,    1.536,    1.746,    6.2,     0.02,    153.5,    500
 315, 15:00:0.30,  1:53:24.78, 1444.3,   0.00,   0.00,   5.66,   1.48,   3.55,   1.04,    8.227,    1.866,    3.620,    0.821,    4.8,     0.11,    227.4,    583
 316, 15:00:0.26,  1:53:24.51, 1451.2,  29.81,  10.22,   5.77,   2.18,   3.25,   1.08,    8.639,    1.924,    3.801,    0.847,    4.8,     0.08,    236.1,    681
 317, 15:00:0.45,  1:53:27.83, 1452.0,  16.36,  18.57,   3.48,   1.61,   2.57,   1.43,    4.692,    0.733,    2.064,    0.323,    4.9,     0.07,    101.6,    167
 318, 15:00:0.89,  1:53:34.55, 1451.0,   0.00,   0.00,   5.11,   4.58,   2.66,   3.93,    2.203,    2.416,    0.969,    1.063,    3.1,     0.04,    223.0,   1741
 319, 15:00:0.22,  1:53:25.25, 1451.9,  37.47,  20.55,   3.50,   2.67,   1.54,   2.40,   19.122,    8.727,    8.414,    3.840,    6.3,     0.05,    263.4,    716
 320, 15:00:0.48,  1:53:26.83, 1457.8,   0.00,   0.00,   5.34,   5.08,   4.11,   7.90,    2.041,    1.462,    0.898,    0.643,    3.2,     0.18,    101.8,    268
 321, 15:00:0.53,  1:53:27.54, 1456.3,  19.00,   6.97,   3.38,   0.83,   2.89,   1.36,    6.028,    1.098,    2.652,    0.483,    4.8,     0.06,    101.8,    384
 322, 15:00:0.29,  1:53:24.72, 1457.8,   0.00,   0.00,   2.61,   1.62,   1.69,   1.47,    1.346,    0.845,    0.592,    0.372,    3.6,     0.11,     69.3,    607
 323, 15:00:0.61,  1:53:29.44, 1452.7,  15.75,  13.54,   3.58,   1.51,   2.57,   1.93,    3.700,    1.599,    1.628,    0.703,    3.3,     0.04,    165.5,    645
 324, 15:00:0.58,  1:53:27.67, 1456.9,  38.57,   4.28,   7.28,   1.06,   6.17,   0.99,   27.913,    2.301,   12.282,    1.012,    6.0,     0.03,    289.6,    527
 325, 15:00:0.30,  1:53:24.17, 1463.5,  24.63,  15.31,   5.91,   2.28,   3.66,   3.44,    6.037,    2.510,    2.656,    1.104,    4.6,     0.11,     12.9,    639
 326, 15:00:0.57,  1:53:25.68, 1462.7,   0.00,   0.00,   3.39,   1.67,   2.50,   1.52,    3.603,    1.179,    1.585,    0.519,    3.4,     0.04,    162.1,    515
 327, 15:00:0.26,  1:53:24.96, 1461.8,  32.34,   7.88,   4.96,   1.15,   3.72,   1.20,   13.388,    2.558,    5.891,    1.125,    3.9,     0.08,    301.2,    641
 328, 15:00:0.28,  1:53:25.09, 1470.6,   0.00,   0.00,   3.00,   2.45,   2.05,   2.07,    2.162,    0.919,    0.951,    0.405,    3.8,     0.03,    338.8,    594
 329, 15:00:0.34,  1:53:27.17, 1461.3,  71.74,   3.07,  15.23,   0.49,  10.16,   0.52,  160.808,    4.183,   70.756,    1.841,    7.7,     0.23,    234.9,    278
 330, 15:00:0.58,  1:53:27.36, 1476.1,  29.16,   7.32,   4.41,   1.22,   3.49,   1.26,   11.620,    1.666,    5.113,    0.733,    6.1,     0.03,    120.7,    501
 331, 15:00:0.31,  1:53:24.43, 1477.7,   0.00,   0.00,   2.55,   2.83,   0.41,   1.41,    1.068,    2.352,    0.470,    1.035,    4.4,     0.04,    271.5,    587
 332, 15:00:0.59,  1:53:27.84, 1480.0,   0.00,   0.00,    NaN,    NaN,    NaN,    NaN,      NaN,      NaN,      NaN,      NaN,    4.1,      NaN,     -NaN,    548
 333, 15:00:0.35,  1:53:27.15, 1482.8,  17.77,  22.02,   1.92,   1.86,   1.03,   2.68,    3.811,    3.710,    1.677,    1.632,    4.8,     0.03,     50.9,    253
 334, 15:00:0.49,  1:53:26.39, 1484.7,   0.00,   0.00,   2.98,   2.88,   0.41,   1.35,    3.523,    3.089,    1.550,    1.359,    4.1,     0.03,     89.6,    311
 335, 15:00:0.18,  1:53:40.46, 1482.3,   0.00,   0.00,   2.11,   6.50,   1.07,   3.25,    3.149,    4.094,    1.385,    1.801,    2.5,     0.05,    217.8,   1263
 336, 15:00:0.43,  1:53:26.56, 1489.3,  27.31,   9.63,   3.22,   1.31,   2.09,   1.36,    7.021,    2.326,    3.089,    1.024,    3.9,     0.07,    352.0,    229
 337, 15:00:0.37,  1:53:25.84, 1496.4,  23.37,   5.42,   9.19,   2.77,   7.02,   2.48,   10.509,    1.469,    4.624,    0.646,    4.2,     0.18,    217.6,    346
 338, 15:00:0.36,  1:53:26.27, 1491.7,  24.86,   8.99,   4.73,   1.67,   3.52,   2.05,    7.913,    1.347,    3.482,    0.593,    4.8,     0.04,    249.7,    322
 339, 15:00:0.36,  1:53:27.00, 1491.4,  29.11,   5.82,   3.25,   0.73,   2.74,   0.94,    8.218,    1.475,    3.616,    0.649,    5.2,     0.01,     80.3,    232
 340, 15:00:0.52,  1:53:26.83, 1491.4,  34.66,   7.13,   4.12,   1.28,   2.66,   0.97,   10.501,    1.697,    4.620,    0.747,    5.1,     0.05,    198.3,    359
 341, 15:00:0.40,  1:53:27.15, 1487.8,  31.83,  23.92,   3.58,   1.87,   2.25,   3.01,    6.704,    4.756,    2.950,    2.093,    4.8,     0.06,    313.5,    170
 342, 15:00:0.42,  1:53:26.80, 1497.5,   0.00,   0.00,   1.67,   3.96,   1.31,   3.37,    2.507,    4.115,    1.103,    1.811,    6.2,     0.02,    358.6,    204
 343, 15:00:0.42,  1:53:21.01, 1497.2,   0.00,   0.00,   5.62,   2.62,   2.58,   1.90,    4.224,    1.208,    1.858,    0.531,    4.3,     0.15,    243.7,    839
 344, 15:00:0.50,  1:53:27.00, 1495.2,   0.00,   0.00,   0.77,   2.37,   1.16,   3.01,    2.395,    3.628,    1.054,    1.596,    3.5,     0.05,     85.2,    298
 345, 15:00:0.33,  1:53:24.10, 1496.8,   0.00,   0.00,   2.27,   2.22,   1.50,   2.53,    0.978,    0.895,    0.430,    0.394,    3.1,     0.02,     32.3,    594
 346, 15:00:0.38,  1:53:26.56, 1495.8,  22.63,  10.89,   6.67,   3.33,   3.44,   2.20,    5.736,    1.465,    2.524,    0.645,    3.8,     0.14,     60.1,    251
 347, 15:00:0.43,  1:53:17.65, 1501.4,   0.00,   0.00,   1.91,   2.85,   1.13,   2.55,    2.755,    4.313,    1.212,    1.898,    3.5,     0.10,    158.1,   1205
 348, 15:00:0.53,  1:53:26.21, 1493.9,  79.33,   2.32,  16.14,   0.41,  13.42,   0.48,  379.394,    6.733,  166.934,    2.963,   13.7,     0.22,    315.1,    409
 349, 15:00:0.53,  1:53:26.87, 1505.3,   0.00,   0.00,   4.27,   1.87,   3.58,   2.94,    2.275,    0.711,    1.001,    0.313,    3.8,     0.07,     99.9,    384
 350, 15:00:0.42,  1:53:27.32, 1503.8,  22.22,  12.58,   2.60,   1.49,   1.85,   1.18,    3.864,    1.600,    1.700,    0.704,    3.7,     0.07,    318.6,    153
 351, 15:00:0.48,  1:53:23.59, 1512.2,  16.22,  11.07,   4.28,   1.72,   1.76,   1.72,    3.098,    1.423,    1.363,    0.626,    3.0,     0.18,    266.2,    548
 352, 15:00:0.35,  1:53:25.46, 1511.0,  27.90,   6.98,   7.07,   2.22,   4.95,   1.90,    9.995,    2.354,    4.398,    1.036,    3.6,     0.14,     56.5,    414
 353, 15:00:0.57,  1:53:25.66, 1512.0,   0.00,   0.00,   3.30,   1.75,   2.05,   1.60,    2.647,    0.716,    1.165,    0.315,    3.8,     0.09,    280.6,    520
 354, 15:00:0.38,  1:53:28.45, 1513.4,   0.00,   0.00,   3.02,   5.37,   0.51,   1.34,    2.208,    5.204,    0.972,    2.290,    2.7,     0.11,    238.1,     58
 355, 15:00:0.47,  1:53:24.01, 1515.3,   0.00,   0.00,   2.82,   5.38,   0.20,   0.72,    2.393,    5.747,    1.053,    2.529,    2.9,     0.01,    172.7,    502
 356, 15:00:0.42,  1:53:25.44, 1518.5,  60.58,   1.83,  12.81,   0.42,  11.41,   0.45,  235.322,    5.367,  103.542,    2.362,   14.0,     0.14,    220.5,    348
 357, 15:00:0.52,  1:53:26.68, 1515.1,   0.00,   0.00,   2.81,   1.66,   1.96,   1.76,    1.943,    0.620,    0.855,    0.273,    4.2,     0.05,    338.8,    354
 358, 15:00:0.27,  1:53:39.66, 1515.9,   0.00,   0.00,   4.34,   7.99,   0.69,   1.56,    2.622,    7.390,    1.154,    3.252,    2.7,     0.03,    251.7,   1159
 359, 15:00:0.45,  1:53:19.55, 1518.8,   0.00,   0.00,   6.88,  12.34,   3.59,  13.03,    4.281,    4.836,    1.884,    2.128,    3.5,     0.05,     80.2,    981
 360, 15:00:0.47,  1:53:25.95, 1519.5,  71.86,   1.99,  13.35,   0.59,  10.93,   0.53,  209.066,    4.660,   91.989,    2.051,   10.0,     0.12,    167.3,    319
 361, 15:00:0.48,  1:53:25.32, 1532.4,  53.22,   2.44,  13.02,   0.77,  10.08,   0.67,   89.587,    2.480,   39.418,    1.091,    8.8,     0.17,     45.6,    383
 362, 15:00:0.49,  1:53:26.26, 1537.9,  31.73,   4.26,   8.13,   1.04,   7.03,   1.08,   23.252,    1.979,   10.231,    0.871,    6.6,     0.14,    326.8,    327
 363, 15:00:0.42,  1:53:18.71, 1580.0,   0.00,   0.00,   3.49,   3.51,   0.92,   2.46,    1.557,    1.894,    0.685,    0.833,    4.0,     0.06,    202.1,   1094
