;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,  d_Omega,    Theta,  d_Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc],[km/s/pc], [degree], [degree],   [pc]
 130, 12:27:26.6,  11:06:29.0, 1151.4,  12.80,   3.42,   4.27,   1.43,   3.14,   1.44,     1.33,     0.57,     0.62,     0.27,    3.0,     0.11,     0.10,     161.,      85.,    316
 131, 12:27:26.5,  11:06:28.2, 1158.3,  14.18,   6.49,   5.45,   2.03,   4.14,   1.77,     2.20,     0.78,     1.02,     0.36,    2.7,     0.26,     0.17,     258.,      71.,    146
 132, 12:27:26.6,  11:06:28.7, 1159.1,   9.21,   3.70,   5.19,   1.27,   4.23,   1.10,     1.93,     0.31,     0.90,     0.14,    4.0,     0.19,     0.11,     209.,      53.,    243
 133, 12:27:26.6,  11:06:28.9, 1164.9,  17.47,   5.42,   5.69,   1.30,   2.92,   1.36,     2.67,     0.59,     1.24,     0.27,    3.2,     0.43,     0.13,     216.,      25.,    305
 134, 12:27:26.5,  11:06:27.1, 1163.7,   0.00,   0.00,   6.19,   2.15,   3.24,   1.97,     1.37,     0.42,     0.64,     0.20,    2.7,     0.00,     0.00,       0.,       0.,    122
 135, 12:27:26.5,  11:06:27.0, 1172.4,   0.00,   0.00,   4.69,   1.04,   3.08,   1.28,     1.97,     0.40,     0.92,     0.19,    3.6,     0.00,     0.00,       0.,       0.,    140
 136, 12:27:26.6,  11:06:25.9, 1161.4,  25.36,   1.93,  10.29,   1.06,   4.55,   0.65,     8.03,     0.84,     3.74,     0.39,    4.0,     0.60,     0.03,     162.,       4.,    379
 137, 12:27:26.6,  11:06:28.5, 1173.5,  11.71,   5.46,   4.38,   1.21,   3.79,   1.27,     2.75,     0.63,     1.28,     0.29,    3.9,     0.10,     0.07,     207.,      69.,    219
 138, 12:27:26.6,  11:06:29.1, 1177.9,  21.84,   4.11,   5.91,   1.26,   3.32,   1.23,     2.80,     0.65,     1.31,     0.30,    3.3,     0.35,     0.10,     198.,      14.,    345
 139, 12:27:26.6,  11:06:28.1, 1177.1,   0.00,   0.00,   2.51,   2.02,   2.71,   2.16,     1.04,     0.48,     0.48,     0.22,    2.3,     0.00,     0.00,       0.,       0.,    122
 140, 12:27:26.6,  11:06:28.6, 1187.0,  14.74,   4.71,   2.96,   1.08,   2.21,   1.20,     1.38,     0.56,     0.64,     0.26,    2.6,     0.15,     0.11,     180.,      69.,    260
 141, 12:27:26.6,  11:06:29.5, 1180.6,   0.00,   0.00,   5.83,   3.06,   2.49,   2.33,     1.03,     0.50,     0.48,     0.23,    2.3,     0.00,     0.00,       0.,       0.,    445
 142, 12:27:26.6,  11:06:28.2, 1183.9,   0.00,   0.00,   2.13,   0.98,   1.86,   0.98,     0.89,     0.35,     0.42,     0.16,    2.7,     0.00,     0.00,       0.,       0.,    163
